time	energy	cost
0	0	0
1527	0.0333333	0
1687	0	0
3600	0.0333333	0
3789	0.0666667	0
3911	0.0333333	0
4192	0	0
4575	0.0333333	0
4931	0.0666667	0
5201	0.0333333	0
5289	0.0666667	0
5411	0.1	0
5590	0.0666667	0
5780	0.0333333	0
5929	1.38778e-17	0
5996	0.0333333	0
6026	0.0666667	0
6385	0.0333333	0
6469	0.0666667	0
6480	0.1	0
6582	0.133333	0
6613	0.1	0
6751	0.133333	0
6771	0.166667	0
6823	0.2	0
6868	0.166667	0
6914	0.2	0
7132	0.233333	0
7136	0.2	0
7170	0.166667	0
7269	0.133333	0
7319	0.166667	0
7322	0.2	0
7344	0.166667	0
7390	0.2	0
7403	0.166667	0
7520	0.133333	0
7539	0.166667	0
7592	0.2	0
7603	0.233333	0
7615	0.266667	0
7673	0.3	0
7753	0.333333	0
7835	0.366667	0
7921	0.333333	0
7948	0.3	0
7984	0.333333	0
8026	0.3	0
8138	0.266667	0
8190	0.233333	0
8213	0.2	0
8217	0.166667	0
8225	0.133333	0
8260	0.1	0
8297	0.133333	0
8362	0.1	0
8387	0.133333	0
8447	0.1	0
8500	0.133333	0
8535	0.166667	0
8579	0.2	0
8597	0.166667	0
8736	0.2	0
8745	0.233333	0
8816	0.266667	0
8935	0.233333	0
8943	0.2	0
8998	0.233333	0
9003	0.2	0
9033	0.166667	0
9060	0.2	0
9072	0.233333	0
9184	0.2	0
9227	0.233333	0
9236	0.266667	0
9279	0.3	0
9288	0.333333	0
9433	0.3	0
9447	0.333333	0
9451	0.366667	0
9458	0.4	0
9522	0.366667	0
9537	0.333333	0
9568	0.366667	0
9585	0.333333	0
9622	0.366667	0
9640	0.4	0
9663	0.366667	0
9665	0.333333	0
9673	0.3	0
9712	0.333333	0
9725	0.366667	0
9832	0.4	0
9835	0.366667	0
9867	0.4	0
9909	0.433333	0
10010	0.466667	0
10021	0.5	0
10040	0.533333	0
10048	0.5	0
10082	0.466667	0
10088	0.433333	0
10094	0.4	0
10117	0.433333	0
10120	0.4	0
10173	0.433333	0
10187	0.466667	0
10204	0.433333	0
10254	0.4	0
10298	0.366667	0
10309	0.333333	0
10410	0.366667	0
10411	0.333333	0
10484	0.3	0
10486	0.333333	0
10487	0.3	0
10504	0.266667	0
10604	0.233333	0
10611	0.266667	0
10704	0.233333	0
10777	0.166667	0
10783	0.133333	0
10793	0.1	0
10903	0.0666667	0
10979	0.1	0
11041	0.133333	0
11082	0.1	0
11211	0.0666667	0
11235	0.1	0
11243	0.133333	0
11337	0.166667	0
11373	0.2	0
11411	0.233333	0
11587	0.2	0
11626	0.233333	0
11672	0.2	0
11691	0.233333	0
11810	0.266667	0
11836	0.233333	0
11839	0.2	0
11851	0.233333	0
11855	0.2	0
11968	0.166667	0
12050	0.133333	0
12161	0.166667	0
12249	0.133333	0
12298	0.1	0
12306	0.133333	0
12348	0.166667	0
12384	0.2	0
12475	0.166667	0
12513	0.133333	0
12526	0.166667	0
12561	0.2	0
12578	0.233333	0
12644	0.266667	0
12821	0.3	0
12839	0.266667	0
12886	0.233333	0
12915	0.266667	0
12923	0.3	0
12997	0.266667	0
13006	0.233333	0
13012	0.266667	0
13045	0.3	0
13148	0.333333	0
13150	0.3	0
13155	0.333333	0
13188	0.366667	0
13194	0.333333	0
13247	0.3	0
13256	0.333333	0
13271	0.366667	0
13314	0.4	0
13359	0.366667	0
13410	0.333333	0
13533	0.3	0
13604	0.333333	0
13623	0.366667	0
13637	0.333333	0
13669	0.366667	0
13674	0.333333	0
13708	0.366667	0
13754	0.333333	0
13828	0.3	0
13831	0.266667	0
13835	0.233333	0
13922	0.2	0
13928	0.166667	0
13943	0.2	0
13966	0.233333	0
14121	0.266667	0
14149	0.233333	0
14291	0.266667	0
14315	0.233333	0
14326	0.2	0
14366	0.166667	0
14383	0.2	0
14522	0.166667	0
14557	0.133333	0
14619	0.166667	0
14631	0.2	0
14632	0.166667	0
14681	0.2	0
14695	0.166667	0
14732	0.2	0
14795	0.233333	0
14808	0.3	0
14862	0.333333	0
14956	0.366667	0
14981	0.333333	0
14983	0.3	0
15149	0.333333	0
15171	0.3	0
15172	0.333333	0
15231	0.3	0
15303	0.333333	0
15313	0.3	0
15348	0.266667	0
15381	0.3	0
15411	0.266667	0
15460	0.3	0
15474	0.266667	0
15526	0.233333	0
15559	0.2	0
15592	0.233333	0
15594	0.266667	0
15601	0.233333	0
15727	0.266667	0
15774	0.233333	0
15786	0.2	0
