taxiID	true total demand	total demand	difference	served demand	total distance	served distance	total time	served time	taxi revenue	taxi profit
0	44	44	0	18	328.161	117.243	33463	13733	377.077	377.077
1	6	6	0	6	27.8104	27.8104	2987	2987	109.536	109.536
2	52	52	0	16	258.449	99.5353	31892	11934	329.222	329.222
3	48	48	0	23	322.464	124.013	28438	12278	457.646	457.646
4	24	24	0	13	326.788	207.175	24878	13673	452.816	452.816
5	64	64	0	24	301.446	116.457	37851	14343	449.938	449.938
6	39	39	0	17	311.18	120.931	29734	13072	375.464	375.464
7	63	63	0	40	310.469	240.946	36064	26578	819.033	819.033
8	37	37	0	24	317.934	232.281	27165	18864	613.984	613.984
9	42	42	0	22	292.867	136.232	32851	15381	448.486	448.486
10	41	41	0	9	293.01	106.144	30326	8854	261.426	261.426
11	48	48	0	27	326.338	181.257	32289	16727	580.599	580.599
12	29	29	0	14	320.471	100.373	26473	10650	303.747	303.747
13	15	15	0	6	303.223	172.168	22686	13470	321.252	321.252
14	64	64	0	49	358.67	243.801	44774	32102	925.611	925.611
15	33	33	0	28	391.596	292.483	28002	22542	755.016	755.016
16	37	37	0	12	445.231	240.184	35441	15498	488.071	488.071
17	36	36	0	17	340.65	107.873	29056	11035	362.771	362.771
18	45	45	0	11	399.649	117.801	34739	9402	296.502	296.502
19	60	60	0	16	349.042	124.204	40734	11406	367.703	367.703
20	45	45	0	10	296.25	59.5926	33204	5734	203.072	203.072
21	64	64	0	31	367.185	138.95	45552	25422	562.103	562.103
22	61	61	0	31	298.667	165.017	35110	17513	597.834	597.834
23	34	34	0	6	324.097	91.701	29659	10184	200.552	200.552
24	35	35	0	18	261.691	115.143	23646	12753	378.676	378.676
25	36	36	0	22	349.989	197.704	28323	15968	544.238	544.238
26	42	42	0	17	260.37	62.354	33105	9863	291.678	291.678
27	47	47	0	27	209.413	110.176	28984	16248	476.813	476.813
28	38	38	0	17	339.974	121.608	31907	13509	370.373	370.373
29	47	47	0	30	439.36	221.864	41832	25878	663.637	663.637
30	42	42	0	23	394.147	142.601	32137	12774	472.217	472.217
31	40	40	0	33	305.304	248.529	27519	21814	750.211	750.211
32	35	35	0	13	393.534	166.193	29310	11574	389.119	389.119
33	46	46	0	27	395.288	164.122	36367	17360	547.706	547.706
34	57	57	0	10	336.054	64.0024	34954	6367	207.607	207.607
35	32	32	0	15	381.206	185.958	27032	11593	442.161	442.161
36	40	40	0	19	272.204	123.847	27595	11559	404.166	404.166
37	31	31	0	12	274.667	90.5295	25262	8954	275.409	275.409
38	35	35	0	10	447.281	115.989	31132	7380	284.272	284.272
39	41	41	0	19	354.391	153.399	33428	15384	436.865	436.865
40	58	58	0	10	348.608	49.2637	31936	5653	185.326	185.326
41	59	59	0	18	450.127	204.044	41979	16361	498.579	498.579
42	37	37	0	15	287.075	37.8392	27223	6970	237.998	237.998
43	46	46	0	10	373.686	120.775	40750	10005	288.679	288.679
44	51	51	0	25	367.697	178.591	37037	19519	544.35	544.35
45	55	55	0	26	330.363	143.329	30928	13955	518.541	518.541
46	27	27	0	11	295.433	204.827	22319	11669	427.427	427.427
47	52	52	0	43	284.266	141.069	38097	24410	706.216	706.216
48	52	52	0	7	303.601	39.7472	32896	3628	140.215	140.215
49	61	61	0	23	279.964	147.327	34314	15425	489.043	489.043
50	33	33	0	14	326.519	89.634	25265	8439	295.768	295.768
51	41	41	0	7	267.456	43.5516	28420	3776	149.572	149.572
52	47	47	0	18	328.888	213.274	40533	18456	521.327	521.327
53	37	37	0	15	385.289	51.4335	31308	7230	248.063	248.063
54	59	59	0	19	386.928	104.046	42680	13470	376.394	376.394
55	78	78	0	23	353.208	107.043	46107	13614	421.776	421.776
56	60	60	0	48	286.43	246.275	33702	28506	937.931	937.931
57	32	32	0	12	343.283	154.478	31153	14488	366.244	366.244
58	48	48	0	31	282.931	155.733	30280	18879	596.741	596.741
59	43	43	0	23	332.69	127.414	36271	13360	453.295	453.295
60	59	59	0	21	329.785	138.489	45770	20893	444.543	444.543
61	50	50	0	22	230.543	108.121	29442	11853	423.216	423.216
62	44	44	0	19	426.221	129.204	38483	15482	405.584	405.584
63	25	25	0	9	425.012	142.576	29378	9780	308.365	308.365
64	48	48	0	22	405.392	144.044	36394	13290	464.639	464.639
65	29	29	0	5	264.002	102.534	23433	5964	207.935	207.935
66	55	55	0	18	369.537	46.036	39156	10075	292.584	292.584
67	35	35	0	8	314.219	35.3941	32137	4872	142.348	142.348
68	74	74	0	30	309.404	143.953	42294	18230	553.038	553.038
69	2	2	0	2	0.510258	0.510258	2181	2181	30	30
70	27	27	0	23	504.327	372.321	34137	24445	812.463	812.463
71	32	32	0	14	305.237	148.744	28936	13586	384.011	384.011
72	22	22	0	6	324.766	154.919	24025	10282	295.379	295.379
73	34	34	0	30	398.952	349.765	30068	26682	875.501	875.501
74	51	51	0	17	240.743	113.686	38190	13868	364.061	364.061
75	42	42	0	12	303.226	100.05	32667	10354	281.209	281.209
76	27	27	0	3	152.454	36.6214	14911	2309	89.1441	89.1441
77	42	42	0	20	309.199	129.665	28862	13341	424.206	424.206
78	35	35	0	13	284.397	90.8421	26636	8853	284.531	284.531
79	25	25	0	10	322.012	129.677	22137	7874	307.333	307.333
80	44	44	0	27	284.708	169.379	30457	17423	578.733	578.733
81	45	45	0	32	369.091	283.997	33329	23763	783.496	783.496
